id,title,format,status,is_blocked,queue_position,issues_remaining
245,Promethea,digital,active,f,44,25
238,New Teen Titans,digital,active,f,46,35
239,The Maxx,digital,active,f,69,25
3134,Thanos,Comics,active,f,76,10
